sample_id,group,source_display_rate,source_claim_level,jxfz_confirmed
Q001,G1,0.0,none,False
Q001,G2,1.0,none,False
Q001,G3,1.0,none,False
Q001,G4,0.0,none,False
Q002,G1,0.0,none,False
Q002,G2,1.0,none,False
Q002,G3,1.0,none,False
Q002,G4,0.0,none,False
Q003,G1,0.0,none,False
Q003,G2,1.0,none,False
Q003,G3,1.0,none,False
Q003,G4,0.0,none,False
Q004,G1,0.0,none,False
Q004,G2,1.0,none,False
Q004,G3,1.0,none,False
Q004,G4,0.0,none,False
Q005,G1,0.0,none,False
Q005,G2,1.0,none,False
Q005,G3,1.0,none,False
Q005,G4,0.0,none,False
Q006,G1,0.0,none,False
Q006,G2,1.0,none,False
Q006,G3,1.0,none,False
Q006,G4,0.0,none,False
Q007,G1,0.0,none,False
Q007,G2,1.0,none,False
Q007,G3,1.0,none,False
Q007,G4,0.0,none,False
Q008,G1,0.0,none,False
Q008,G2,1.0,none,False
Q008,G3,1.0,none,False
Q008,G4,0.0,none,False
Q009,G1,0.0,none,False
Q009,G2,1.0,none,False
Q009,G3,1.0,none,False
Q009,G4,0.0,none,False
Q010,G1,0.0,none,False
Q010,G2,1.0,none,False
Q010,G3,1.0,none,False
Q010,G4,0.0,none,False
Q011,G1,0.0,none,False
Q011,G2,1.0,none,False
Q011,G3,1.0,none,False
Q011,G4,0.0,none,False
Q012,G1,0.0,none,False
Q012,G2,1.0,none,False
Q012,G3,1.0,none,False
Q012,G4,0.0,none,False
Q013,G1,0.0,none,False
Q013,G2,1.0,none,False
Q013,G3,1.0,none,False
Q013,G4,0.0,none,False
Q014,G1,0.0,none,False
Q014,G2,1.0,none,False
Q014,G3,1.0,none,False
Q014,G4,0.0,none,False
Q015,G1,0.0,none,False
Q015,G2,1.0,none,False
Q015,G3,1.0,none,False
Q015,G4,0.0,none,False
Q016,G1,0.0,none,False
Q016,G2,1.0,none,False
Q016,G3,1.0,none,False
Q016,G4,0.0,none,False
Q017,G1,0.0,none,False
Q017,G2,1.0,none,False
Q017,G3,1.0,none,False
Q017,G4,0.0,none,False
Q018,G1,0.0,none,False
Q018,G2,1.0,none,False
Q018,G3,1.0,none,False
Q018,G4,0.0,none,False
Q019,G1,0.0,none,False
Q019,G2,1.0,none,False
Q019,G3,1.0,none,False
Q019,G4,0.0,none,False
Q020,G1,0.0,none,False
Q020,G2,1.0,none,False
Q020,G3,1.0,none,False
Q020,G4,0.0,none,False
