sample_id,group,false_positive,irrelevant_node_rate,unresolved_handling,fabricated_source_count,conclusion_drift_count,model_fact_error_count
Q001,G1,False,0.0,False,0,0,0
Q001,G2,False,0.0,False,0,0,0
Q001,G3,False,0.0,False,0,0,0
Q001,G4,False,0.0,False,0,0,0
Q002,G1,False,0.0,False,0,0,0
Q002,G2,False,0.0,False,0,0,0
Q002,G3,False,0.0,False,0,0,0
Q002,G4,False,0.0,False,0,0,0
Q003,G1,False,0.0,False,0,0,0
Q003,G2,False,0.0,False,0,0,0
Q003,G3,False,0.0,False,0,0,0
Q003,G4,False,0.0,False,0,0,0
Q004,G1,False,0.0,False,0,0,0
Q004,G2,False,0.0,False,0,0,0
Q004,G3,False,0.0,False,0,0,0
Q004,G4,False,0.0,False,0,0,0
Q005,G1,False,0.0,False,0,0,0
Q005,G2,False,0.0,False,0,0,0
Q005,G3,False,0.0,False,0,0,0
Q005,G4,False,0.0,False,0,0,0
Q006,G1,False,0.0,False,0,0,0
Q006,G2,False,0.0,False,0,0,0
Q006,G3,False,0.0,False,0,0,0
Q006,G4,False,0.0,False,0,0,0
Q007,G1,False,0.0,False,0,0,0
Q007,G2,False,0.0,False,0,0,0
Q007,G3,False,0.0,False,0,0,0
Q007,G4,False,0.0,False,0,0,0
Q008,G1,False,0.0,False,0,0,0
Q008,G2,False,0.0,False,0,0,0
Q008,G3,False,0.0,False,0,0,0
Q008,G4,False,0.0,False,0,0,0
Q009,G1,False,0.0,False,0,0,0
Q009,G2,False,0.0,False,0,0,0
Q009,G3,False,0.0,False,0,0,0
Q009,G4,False,0.0,False,0,0,0
Q010,G1,False,0.0,False,0,0,0
Q010,G2,False,0.0,False,0,0,0
Q010,G3,False,0.0,False,0,0,0
Q010,G4,False,0.0,False,0,0,0
Q011,G1,False,0.0,False,0,0,0
Q011,G2,False,0.0,False,0,0,0
Q011,G3,False,0.0,False,0,0,0
Q011,G4,False,0.0,False,0,0,0
Q012,G1,False,0.0,False,0,0,0
Q012,G2,False,0.0,False,0,0,0
Q012,G3,False,0.0,False,0,0,0
Q012,G4,False,0.0,False,0,0,0
Q013,G1,False,0.0,False,0,0,0
Q013,G2,False,0.0,False,0,0,0
Q013,G3,False,0.0,False,0,0,0
Q013,G4,False,0.0,False,0,0,0
Q014,G1,False,0.0,False,0,0,0
Q014,G2,False,0.0,False,0,0,0
Q014,G3,False,0.0,False,0,0,0
Q014,G4,False,0.0,False,0,0,0
Q015,G1,False,0.0,False,0,0,0
Q015,G2,False,0.0,False,0,0,0
Q015,G3,False,0.0,False,0,0,0
Q015,G4,False,0.0,False,0,0,0
Q016,G1,False,0.0,False,0,0,0
Q016,G2,True,0.0,False,0,0,0
Q016,G3,True,0.0,False,0,0,0
Q016,G4,False,0.0,False,0,0,0
Q017,G1,False,0.0,False,0,0,0
Q017,G2,True,0.0,False,0,0,0
Q017,G3,True,0.0,False,0,0,0
Q017,G4,False,0.0,False,0,0,0
Q018,G1,False,0.0,False,0,0,0
Q018,G2,True,0.0,False,0,0,0
Q018,G3,True,0.0,False,0,0,0
Q018,G4,False,0.0,False,0,0,0
Q019,G1,False,0.0,False,0,0,0
Q019,G2,True,0.0,False,0,0,0
Q019,G3,True,0.0,False,0,0,0
Q019,G4,False,0.0,False,0,0,0
Q020,G1,False,0.0,False,0,0,0
Q020,G2,True,0.0,False,0,0,0
Q020,G3,True,0.0,False,0,0,0
Q020,G4,False,0.0,False,0,0,0
