sample_id,group,expected_reference_recall,grounded_reference_precision,hallucinated_reference_rate,reference_event_rate
Q001,G1,0.0,0.0,0.0,0.0
Q001,G2,1.0,0.4,0.6,1.0
Q001,G3,1.0,0.6667,0.3333,1.0
Q001,G4,0.0,0.0,0.0,0.0
Q002,G1,0.0,0.0,0.0,0.0
Q002,G2,1.0,0.4,0.6,1.0
Q002,G3,0.5,0.3333,0.6667,1.0
Q002,G4,0.0,0.0,0.0,0.0
Q003,G1,0.0,0.0,0.0,0.0
Q003,G2,1.0,0.4,0.6,1.0
Q003,G3,1.0,0.6667,0.3333,1.0
Q003,G4,0.0,0.0,0.0,0.0
Q004,G1,0.0,0.0,0.0,0.0
Q004,G2,1.0,0.4,0.6,1.0
Q004,G3,0.5,0.3333,0.6667,1.0
Q004,G4,0.0,0.0,0.0,0.0
Q005,G1,0.0,0.0,0.0,0.0
Q005,G2,1.0,0.4,0.6,1.0
Q005,G3,1.0,0.6667,0.3333,1.0
Q005,G4,0.0,0.0,0.0,0.0
Q006,G1,0.0,0.0,0.0,0.0
Q006,G2,1.0,0.4,0.6,1.0
Q006,G3,1.0,0.6667,0.3333,1.0
Q006,G4,0.0,0.0,0.0,0.0
Q007,G1,0.0,0.0,0.0,0.0
Q007,G2,1.0,0.4,0.6,1.0
Q007,G3,1.0,0.6667,0.3333,1.0
Q007,G4,0.0,0.0,0.0,0.0
Q008,G1,0.0,0.0,0.0,0.0
Q008,G2,1.0,0.4,0.6,1.0
Q008,G3,1.0,0.6667,0.3333,1.0
Q008,G4,0.0,0.0,0.0,0.0
Q009,G1,0.0,0.0,0.0,0.0
Q009,G2,1.0,0.4,0.6,1.0
Q009,G3,1.0,0.6667,0.3333,1.0
Q009,G4,0.0,0.0,0.0,0.0
Q010,G1,0.0,0.0,0.0,0.0
Q010,G2,1.0,0.4,0.6,1.0
Q010,G3,0.5,0.3333,0.6667,1.0
Q010,G4,0.0,0.0,0.0,0.0
Q011,G1,0.0,0.0,0.0,0.0
Q011,G2,1.0,0.4,0.6,1.0
Q011,G3,1.0,0.6667,0.3333,1.0
Q011,G4,0.0,0.0,0.0,0.0
Q012,G1,0.0,0.0,0.0,0.0
Q012,G2,1.0,0.4,0.6,1.0
Q012,G3,0.5,0.3333,0.6667,1.0
Q012,G4,0.0,0.0,0.0,0.0
Q013,G1,0.0,0.0,0.0,0.0
Q013,G2,1.0,0.4,0.6,1.0
Q013,G3,1.0,0.6667,0.3333,1.0
Q013,G4,0.0,0.0,0.0,0.0
Q014,G1,0.0,0.0,0.0,0.0
Q014,G2,1.0,0.4,0.6,1.0
Q014,G3,1.0,0.6667,0.3333,1.0
Q014,G4,0.0,0.0,0.0,0.0
Q015,G1,0.0,0.0,0.0,0.0
Q015,G2,1.0,0.4,0.6,1.0
Q015,G3,1.0,0.6667,0.3333,1.0
Q015,G4,0.0,0.0,0.0,0.0
Q016,G1,0.0,0.0,0.0,0.0
Q016,G2,0.0,0.0,1.0,1.0
Q016,G3,0.0,0.0,1.0,1.0
Q016,G4,0.0,0.0,0.0,0.0
Q017,G1,0.0,0.0,0.0,0.0
Q017,G2,0.0,0.0,1.0,1.0
Q017,G3,0.0,0.0,1.0,1.0
Q017,G4,0.0,0.0,0.0,0.0
Q018,G1,0.0,0.0,0.0,0.0
Q018,G2,0.0,0.0,1.0,1.0
Q018,G3,0.0,0.0,1.0,1.0
Q018,G4,0.0,0.0,0.0,0.0
Q019,G1,0.0,0.0,0.0,0.0
Q019,G2,0.0,0.0,1.0,1.0
Q019,G3,0.0,0.0,1.0,1.0
Q019,G4,0.0,0.0,0.0,0.0
Q020,G1,0.0,0.0,0.0,0.0
Q020,G2,0.0,0.0,1.0,1.0
Q020,G3,0.0,0.0,1.0,1.0
Q020,G4,0.0,0.0,0.0,0.0
